GLOBALEVENTID,Date,Actor1Name,Actor2Name,EventDescription,EventRootDescription,ActionGeo_CountryName,SOURCEURL,SourceName,Actor1Type1Code,Actor1Geo_CountryName,Actor2Type1Code,Actor2Geo_CountryName,Is_Translated,GoldsteinScale,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long
1184271172,2024-06-28,BRUSSELS,,"Consult, not specified below",Consult,Spain,https://www.eurointegration.com.ua/news/2024/06/27/7189077/,www.eurointegration.com.ua,,Spain,,,1,1.0,2.02659911336289,7,40.0,-4.0
1184271181,2024-06-28,SOFIA,,Provide humanitarian aid,Provide Aid,Spain,https://www.agencianova.com/nota.asp?n=2024_6_27&id=140352&id_tiponota=203,www.agencianova.com,,Spain,,,1,7.4,4.60526315789474,6,40.9681,-5.66202
1184271199,2024-06-28,COMPANY,,"Appeal, not specified below",Appeal,Spain,https://infonegocios.madrid/nota-principal/que-planes-tiene-iberdrola-para-sus-centrales-de-gas,infonegocios.madrid,BUS,Spain,,,1,3.0,0.681818181818178,10,40.0,-4.0
1184271226,2024-06-28,POLICE,,"Make statement, not specified below",Make Public Statement,Spain,https://g1.globo.com/jornal-nacional/noticia/2024/06/27/pf-inclui-dois-ex-executivos-das-americanas-na-lista-de-procurados-da-interpol.ghtml,g1.globo.com,COP,Spain,,,1,0.0,-1.44628099173553,10,40.0,-4.0
1184271236,2024-06-28,PRISON,,"Arrest, detain, or charge with legal action ",Coerce,Spain,https://www.vilaweb.cat/noticies/oleks-amnistia-60000-euros/,www.vilaweb.cat,COP,Spain,,,1,-5.0,-4.41501103752759,10,41.3833,2.18333
1184271287,2024-06-28,STUDENT,,Occupy territory,Fight,Spain,https://www.laverdad.es/content-local/universae-graduacion/,www.laverdad.es,EDU,Spain,,,1,-9.5,5.73529411764706,10,40.0,-4.0
1184271299,2024-06-28,SPAIN,MINIST,Host a visit,Consult,Spain,https://www.mena.org.eg:443/ar/news/dbcall/table/textnews/id/10762427,www.mena.org.eg:443,,Spain,GOV,Spain,1,2.8,2.59067357512953,2,40.0,-4.0
1184271315,2024-06-28,FRANCE,,"Appeal, not specified below",Appeal,Spain,https://www.elpuntavui.cat/opinio/article/8-articles/2433088-una-col-leccio-furtiva-la-de-josep-pla.html,www.elpuntavui.cat,,Spain,,,1,3.0,2.50347705146037,4,41.9305,3.13612
1184271454,2024-06-28,JORDAN,,"Make statement, not specified below",Make Public Statement,Spain,https://www.elpuntavui.cat/opinio/article/8-articles/2431662-de-capital-d-estiueig-a-la-de-l-aigua.html,www.elpuntavui.cat,,Spain,,,1,0.0,0.99009900990099,8,41.3833,2.18333
1184271482,2024-06-28,WORKER,SPAIN,"Yield, not specified below ",Yield,Spain,https://www.lahaine.org/est_espanol.php/comunicado-de-trabajadoras-de-hogar,www.lahaine.org,LAB,Spain,,Spain,1,5.0,0.972762645914401,10,40.0,-4.0
1184275511,2024-06-28,,CANARY ISLANDS,"Consult, not specified below",Consult,Spain,https://www.canarias7.es/cultura/libros/habitacion-estanterias-libros-biblioteca-20240628230723-nt.html,www.canarias7.es,,,,Spain,1,1.0,0.19960079840319,2,28.0,-15.5
1184275512,2024-06-28,,SPANISH,Host a visit,Consult,Spain,https://www.neuquenalinstante.com.ar/noticias/2024/06/27/106984-civitatis-recibe-una-inversion-de-50-millones-de-dolares-de-vitruvian-partners-y-se-posiciona-como-lider-de-su-categoria-en-espana-y-america-latina,www.neuquenalinstante.com.ar,,,,Spain,1,2.8,4.45544554455446,10,40.0,-4.0
1184275666,2024-06-28,DIOCESE,SPANISH,Host a visit,Consult,Spain,https://program.ert.gr/details.asp?pid=3964622&chid=49,program.ert.gr,,Spain,,Spain,1,2.8,-1.33333333333334,8,40.4,-3.68333
1184275838,2024-06-28,GOVERNMENT,SPAIN,"Appeal, not specified below",Appeal,Spain,https://www.canarias7.es/politica/cataluna-vox-aniquilan-dos-posibles-vias-salga-20240628231243-nt.html,www.canarias7.es,GOV,Spain,,Spain,1,3.0,0.92449922958397,10,43.0,-2.75
1184275863,2024-06-28,MINIST,CALIFORNIA,"Investigate, not specified below",Investigate,Spain,https://www.laregion.es/articulo/economia/consumo-plantea-introducir-iva-pisos-turisticos/202406272132531307226.html,www.laregion.es,GOV,Spain,,Spain,1,-2.0,-1.52091254752851,10,40.0,-4.0
1184276176,2024-06-28,,GOVERNMENT,"Demand, not specified below",Demand,Spain,https://lopezdoriga.com/nacional/no-se-como-dinamarca-avanzaremos-tener-sistema-salud-solido-kershenobich/,lopezdoriga.com,,,GOV,Spain,1,-5.0,4.48179271708684,10,40.0,-4.0
1184276338,2024-06-28,SPAIN,,"Reject, not specified below",Reject,Spain,https://www.laregion.es/opinion/rafael-davila-alvarez/volvera-la-mili/202406280130031307170.html,www.laregion.es,,Spain,,,1,-4.0,-2.30769230769231,10,40.0,-4.0
1184276340,2024-06-28,GALICIA,GALICIAN,Make a visit,Consult,Spain,https://www.laregion.es/opinion/fernando-gonzalez-macias/memoria-dia-aciago/202406280134501307284.html,www.laregion.es,,Spain,,Spain,1,1.9,-0.41322314049587,10,40.0,-4.0
1184276388,2024-06-28,PRESIDENT,BOLIVIA,Praise or endorse,Engage In Diplomatic Cooperation,Paraguay,https://vanguardia.com.mx/noticias/internacional/presidente-de-bolivia-agradece-apoyo-de-amlo-y-claudia-sheinbaum-tras-intento-de-golpe-de-estado-BE12438944,vanguardia.com.mx,GOV,Spain,,Paraguay,1,3.4,0.0,2,-22.993333,-57.996389
1184276420,2024-06-28,DOCTOR,,Praise or endorse,Engage In Diplomatic Cooperation,Spain,https://www.laregion.es/opinion/xose-a-perozo/ha-nacido-un-raton/202406280129131307277.html,www.laregion.es,HLH,Spain,,,1,3.4,-1.46818923327896,10,40.0,-4.0
1184276449,2024-06-28,JUDGE,,"Arrest, detain, or charge with legal action ",Coerce,Mexico,https://vanguardia.com.mx/coahuila/japones-intenta-abusar-de-camarera-en-hotel-de-saltillo-ED12442116,vanguardia.com.mx,JUD,Spain,,,1,-5.0,-5.37190082644629,10,25.4167,-101.0
1184276463,2024-06-28,GENERAL ASSEMBLY,,"Make statement, not specified below",Make Public Statement,Spain,https://www.laregion.es/opinion/rafael-torres/renovacion-justicia/202406280131271307280.html,www.laregion.es,LEG,Spain,,,1,0.0,1.5625,10,40.0,-4.0
1184276481,2024-06-28,WEB SITE,,"Make statement, not specified below",Make Public Statement,Spain,https://www.lanueva.com/nota/2024-6-27-16-56-0-por-que-el-27-de-junio-se-celebra-el-dia-nacional-del-boludo,www.lanueva.com,MED,Spain,,,1,0.0,-0.75187969924812,10,40.0,-4.0
1184278427,2024-06-28,,AUSTRIA,Make a visit,Consult,Spain,https://www.europapress.es/deportes/formula1-00312/noticia-fernando-alonso-sera-carrera-parecida-barcelona-nos-tocara-sufrir-20240627225346.html,www.europapress.es,,,,Spain,1,1.9,0.8130081300813,4,40.0,-4.0
1184278432,2024-06-28,,COMPANY,Express intent to meet or negotiate,Express Intent To Cooperate,Spain,https://www.lasprovincias.es/sucesos/guardia-civil-detiene-responsables-robo-siete-toneladas-20240627100949-nt.html,www.lasprovincias.es,,,BUS,Spain,1,4.0,-3.03030303030303,10,39.6833,-0.266667
1184278438,2024-06-28,,TOURIST,Express intent to cooperate economically,Express Intent To Cooperate,Spain,https://www.elnuevosiglo.com.co/cultura-y-sociedad/notre-dame-estrenara-mobiliario-y-vestuario-liturgico-para-reapertura,www.elnuevosiglo.com.co,,,CVL,Spain,1,5.2,3.00751879699248,10,40.0,-4.0
1184278446,2024-06-28,,SPAIN,Praise or endorse,Engage In Diplomatic Cooperation,Spain,https://www.lepoint.fr/politique/legislatives-un-debat-et-des-coups-bas-sur-le-champ-des-valeurs-entre-attal-faure-et-bardella-28-06-2024-2564174_20.php,www.lepoint.fr,,,,Spain,1,3.4,-3.61702127659574,10,40.0,-4.0
1184278558,2024-06-28,BRAZILIAN,PERU,"Make statement, not specified below",Make Public Statement,Spain,https://www.t13.cl/noticia/espectaculos/invita-cama-oriana-desato-furia-gala-ataco-querer-estar-facundo-27-6-2024,www.t13.cl,,Spain,,Spain,1,0.0,-1.52905198776758,8,40.0,-4.0
1184278577,2024-06-28,COMPANIES,SPAIN,"Yield, not specified below ",Yield,Spain,https://www.emol.com/noticias/Nacional/2024/06/27/1134926/experiencia-internacional-de-pistolas-taser.html,www.emol.com,BUS,Spain,,Spain,1,5.0,-3.97058823529412,10,40.0,-4.0
1184278621,2024-06-28,CITIZEN,,Fight with small arms and light weapons,Fight,Spain,https://www.news1.kr/articles/?5461935,www.news1.kr,CVL,United States,,,1,-10.0,1.14068441064638,10,40.4,-3.68333
1184278636,2024-06-28,ECUADOR,,"Make statement, not specified below",Make Public Statement,Spain,https://www.diarioeldia.cl/noticias/2024/06/27/121223-organizaciones-diaguita-celebraron-el-dia-nacional-de-los-pueblos-originarios,www.diarioeldia.cl,,Spain,,,1,0.0,2.01511335012594,8,40.0,-4.0
1184278660,2024-06-28,SPAIN,,Criticize or denounce ,Disapprove,Spain,https://noticiassin.com/detienen-en-espana-a-una-mujer-condenada-por-arrancar-parte-de-la-lengua-a-su-novio-1670260/,noticiassin.com,,Spain,,,1,-2.0,-6.25,10,40.0,-4.0
1184281408,2024-06-28,,TELEVISION,Make a visit,Consult,Spain,https://peopleenespanol.com/carolina-sandoval-reacciona-rumores-crisis-financiera-divorcio-nick-hernandez-8670796,peopleenespanol.com,,,MED,Spain,1,1.9,0.0,10,40.0,-4.0
1184281529,2024-06-28,SCIENTIST,,"Investigate, not specified below",Investigate,Spain,https://www.larazon.es/cultura/historia/expedicion-malaspina-aventura-que-debe-ser-recorda-nivel-mundial_20240628667e05be093052000112bdc8.html,www.larazon.es,CVL,Spain,,,1,-2.0,1.8957345971564,10,40.0,-4.0
1184281548,2024-06-28,COLLEGE,,"Appeal, not specified below",Appeal,Spain,https://www.larazon.es/opinion/tarea-pendiente_20240628667de8e5888bcf0001a66be4.html,www.larazon.es,EDU,Spain,,,1,3.0,0.64102564102564,10,28.0,-15.5
1184281558,2024-06-28,SPAIN,,"Make statement, not specified below",Make Public Statement,Spain,https://www.larazon.es/opinion/brexit-lexit-sanchismo-cantonalista_20240628667de8df901ca90001c11ef8.html,www.larazon.es,,Spain,,,1,0.0,-0.23696682464455,4,40.9681,-5.66202
1184281585,2024-06-28,EUROPE,,"Engage in diplomatic cooperation, not specified below",Engage In Diplomatic Cooperation,Spain,https://www.hs.fi/politiikka/art-2000010527865.html,www.hs.fi,LEG,Spain,,,1,3.5,1.24843945068664,10,40.0,-4.0
1184281762,2024-06-28,LITHUANIA,UKRAINE,Sign formal agreement,Engage In Diplomatic Cooperation,Germany,https://day.kyiv.ua/news/270624-ukrayina-uklala-bezpekovu-uhodu-z-lytvoyu,day.kyiv.ua,GOV,United Kingdom,,Spain,1,8.0,1.53256704980842,2,51.5,10.5
1184281768,2024-06-28,MAGAZINE,,"Express intent to cooperate, not specified below",Express Intent To Cooperate,Spain,https://proceso.hn/time-y-openai-llegan-a-un-acuerdo-en-el-que-chatgpt-podra-usar-el-archivo-de-la-revista/,proceso.hn,MED,Spain,,,1,4.0,3.30882352941176,10,40.0,-4.0
1184281820,2024-06-28,PORTUGAL,,Host a visit,Consult,Spain,https://www.diariodepernambuco.com.br/noticia/brasil/2024/06/ex-ceo-e-ex-diretora-da-americanas-sao-incluidos-na-lista-da-interpol.html,www.diariodepernambuco.com.br,,Portugal,,,1,2.8,-1.22699386503067,10,40.0,-4.0
1184281930,2024-06-28,GALICIAN,,Express intent to meet or negotiate,Express Intent To Cooperate,Spain,https://www.larazon.es/cultura/toros/bruno-aloi-unica-ovacion-noche-desencuentros-larga-duracion_20240628667e0281888bcf0001a6999a.html,www.larazon.es,,Spain,,,1,4.0,-1.90839694656488,10,40.4,-3.68333
1184284153,2024-06-28,BRUSSELS,,"Accuse, not specified below",Disapprove,Spain,https://www.libertaddigital.com/opinion/2024-06-28/emilio-campmany-para-quien-la-perra-gorda-7141876/,www.libertaddigital.com,,Spain,,,1,-2.0,-0.15455950540958,6,40.0,-4.0
1184284199,2024-06-28,DEPUTY,,"Make statement, not specified below",Make Public Statement,Spain,https://www.europapress.es/ceuta-y-melilla/noticia-pp-pide-mas-medios-control-fronteras-terrestres-maritimas-frente-inmigracion-irregular-20240627161808.html,www.europapress.es,COP,Spain,,,1,0.0,-2.65486725663717,10,35.2839,-2.94307
1184284279,2024-06-28,EUROPE,SPAIN,"Investigate, not specified below",Investigate,Spain,https://tasikmalaya.pikiran-rakyat.com/olahraga/pr-068259026/manchester-city-incar-dani-olmo-pep-ingin-segera-cari-pengganti-kevin-de-bruyne,tasikmalaya.pikiran-rakyat.com,,Spain,,Spain,1,-2.0,2.72108843537415,10,40.0,-4.0
1184284297,2024-06-28,PRESIDENT,,Make pessimistic comment,Make Public Statement,United States,https://eldiariony.com/2024/06/27/en-vivo-sigue-la-transmision-del-primer-debate-entre-biden-y-trump/,eldiariony.com,GOV,Spain,,,1,-0.4,-6.45161290322581,10,32.9866,-83.6487
1184284536,2024-06-28,SWEDEN,,Make pessimistic comment,Make Public Statement,Spain,https://www.eldestapeweb.com/mundo/medidas/legisladores-eeuu-buscan-regulacion-en-importaciones-chinas-de-aceite-de-cocina-usado-por-temor-a-fraude-202462722052,www.eldestapeweb.com,,Spain,,,1,-0.4,-0.22573363431151,4,40.0,-4.0
1184284585,2024-06-28,MULATTO,,Occupy territory,Fight,Spain,https://www.elidealgallego.com/articulo/gastroideal/mulata-legado-familiar-calidad-tradicion-4889686,www.elidealgallego.com,,Spain,,,1,-9.5,1.98807157057654,10,40.0,-4.0
1184286157,2024-06-28,COMMUNITY,,"Make statement, not specified below",Make Public Statement,Spain,https://www.periodistadigital.com/ciencia/salud/medicina/20240628/comunidad-madrid-aborda-retos-medicina-futuro-noticia-689405008104/,www.periodistadigital.com,CVL,Spain,,,1,0.0,3.9647577092511,10,40.4,-3.68333
1184286198,2024-06-28,SPAIN,AMBASSADOR,Make a visit,Consult,Spain,https://www.parlamentario.com/2024/06/27/carbajal-apunto-contra-el-gobierno-parece-que-pensar-distinto-es-un-grave-delito-y-nos-acusan-de-pertenecer-a-las-fuerzas-de-la-oscuridad/,www.parlamentario.com,,Spain,GOV,Spain,1,1.9,-2.69905533063427,10,40.0,-4.0
1184286256,2024-06-28,GOVERNMENT,,"Impose administrative sanctions, not specified below",Coerce,Spain,https://www.0223.com.ar/nota/2024-6-27-21-14-0-cambio-en-las-ferias-artesanales-los-stand-no-podran-ser-fijos-y-seran-retirados-todos-los-dias,www.0223.com.ar,GOV,Spain,,,1,-5.0,0.0,10,40.0,-4.0
1184286259,2024-06-28,PRESIDENT,,"Arrest, detain, or charge with legal action ",Coerce,Spain,https://eltiempo.pe/internacional/debate-presidencial-estados-unidos-en-vivo-hoy-27-de-junio-horarios-temas-a-tratar-y-canales-de-transmision/,eltiempo.pe,GOV,Spain,,,1,-5.0,-4.2385993015377,18,40.0,-4.0
1184286271,2024-06-28,GOVERNOR,CHINESE,"Engage in diplomatic cooperation, not specified below",Engage In Diplomatic Cooperation,Spain,https://www.eluniversal.com.mx/estados/gobernador-esteban-villegas-negocia-con-empresas-chinas-para-establecer-plantas-en-durango/,www.eluniversal.com.mx,GOV,Spain,BUS,Spain,1,3.5,2.86624203821656,10,40.0,-4.0
1184286305,2024-06-28,HOSPITAL,,Occupy territory,Fight,Spain,https://www.diarioelargentino.com.ar/policiales/horror-en-entre-rios-un-hombre-le-pego-cinco-tiros-a-su-ex-pareja-y-despues-se-suicido,www.diarioelargentino.com.ar,HLH,Spain,,,1,-9.5,-5.52995391705069,10,40.0,-4.0
1184287817,2024-06-28,SCHOOL,,Praise or endorse,Engage In Diplomatic Cooperation,Spain,http://www.agenciafe.com/nota/373888-Instituto-Almirante-Brown-Provincia-present-el-nuevo-proyecto-para-el-edificio-educativo,www.agenciafe.com,EDU,Spain,,,1,3.4,0.60698027314113,10,41.3833,2.18333
1184289498,2024-06-28,GOVERNMENT,MEXICO,"Disapprove, not specified below",Disapprove,Spain,https://www.informador.mx/mexico/Sheinbaum-nombra-como-titular-de-la-Secretaria-de-Energia--Sener-a-Luz-Elena-Gonzalez-Escobar-conoce-su-trayectoria-20240627-0165.html,www.informador.mx,GOV,Spain,,Spain,1,-2.0,0.854700854700855,2,40.0,-4.0
1184290987,2024-06-28,STUDENT,,"Investigate, not specified below",Investigate,Spain,https://www.elperiodico.cat/ca/societat/20240628/l-lgtbi-fobia-tambe-cala-104426995,www.elperiodico.cat,EDU,Spain,,,1,-2.0,-3.02457466918715,10,41.3833,2.18333
1184290992,2024-06-28,SEVILLE,,"Use conventional military force, not specified below",Fight,Spain,https://www.elperiodico.cat/ca/societat/20240628/polemica-pel-cartell-normativa-lgtbi-104426983,www.elperiodico.cat,,Spain,,,1,-10.0,0.6006006006006,8,41.3833,2.18333
1184290996,2024-06-28,SPAIN,HONDURAS,"Reject, not specified below",Reject,Spain,https://noticiabrasil.net.br/20240627/ex-oficial-da-cia-explica-possiveis-motivos-da-tentativa-de-golpe-na-bolivia-eua-envolvidos-35332554.html,noticiabrasil.net.br,,Spain,,Colombia,1,-4.0,0.30864197530864,2,40.0,-4.0
1184290998,2024-06-28,SPAIN,PORTUGUESE,"Appeal, not specified below",Appeal,Spain,https://www.correiobraziliense.com.br/mundo/2024/06/6886789-por-que-ex-ceo-e-ex-diretora-das-americanas-foram-alvos-de-mandados-de-prisao.html,www.correiobraziliense.com.br,,Spain,,Portugal,1,3.0,-1.96280991735537,4,40.4,-3.68333
1184290999,2024-06-28,SPAIN,VATICAN,"Reject, not specified below",Reject,Spain,https://www.lapoliticaonline.com:443/politica/el-secretario-de-culto-confirmo-que-gasto-mas-3-millones-de-pesos-de-la-cancilleria-para-viajar-al-acto-de-vox/,www.lapoliticaonline.com:443,,Spain,,Spain,1,-4.0,-1.48514851485148,4,40.0,-4.0
1184291093,2024-06-28,ISRAEL,,"Consult, not specified below",Consult,Spain,https://g1.globo.com/mundo/eleicoes-nos-eua/2024/noticia/2024/06/27/eleicoes-2024-nos-eua-biden-e-trump-fazem-1o-debate.ghtml,g1.globo.com,,Spain,,,1,1.0,-8.07993049522154,4,40.0,-4.0
1184292689,2024-06-28,SPAIN,SENEGAL,Praise or endorse,Engage In Diplomatic Cooperation,Spain,https://www.senenews.com/actualites/bassirou-diomaye-faye-et-le-ministre-des-affaires-etrangeres-de-lue-se-sont-rencontres-photos_498171.html,www.senenews.com,,Spain,GOV,Senegal,1,3.4,4.07239819004525,10,40.0,-4.0
1184292922,2024-06-28,SWEDEN,PRESIDENT,"Impose administrative sanctions, not specified below",Coerce,Spain,https://www.elimparcial.com/mundo/2024/06/28/que-dijeron-biden-y-trump-sobre-el-aborto-en-el-debate-presidencial-de-eu/,www.elimparcial.com,,Spain,GOV,Spain,1,-5.0,-6.59722222222222,8,40.0,-4.0
1184294153,2024-06-28,,INDUSTRY,Praise or endorse,Engage In Diplomatic Cooperation,Spain,https://www.lne.es/oviedo/2024/06/28/defensa-creara-centro-tecnologico-industria-104426401.html,www.lne.es,,,BUS,Spain,1,3.4,2.07423580786026,6,37.3379,-5.83951
1184294164,2024-06-28,,VILLAGE,Make a visit,Consult,Spain,https://www.lne.es/villaviciosa/2024/06/28/carlos-v-regresa-villaviciosa-holograma-104427471.html,www.lne.es,,,CVL,Spain,1,1.9,0.3393665158371,10,40.0,-4.0
1184294168,2024-06-28,,SPANISH,Engage in negotiation,Consult,Spain,https://www.lne.es/cuencas/2024/06/28/campus-trabaja-integrarse-red-espanola-104412718.html,www.lne.es,,,,Spain,1,7.0,1.62412993039443,10,40.0,-4.0
1184294217,2024-06-28,INDUSTRY,MINISTRY,Host a visit,Consult,Spain,https://www.lne.es/economia/2024/06/28/astilleros-asturianos-convierten-espana-sexta-104418596.html,www.lne.es,BUS,Spain,GOV,Spain,1,2.8,2.38500851788756,10,43.0,-2.75
1184294277,2024-06-28,SPAIN,REGIME,"Appeal, not specified below",Appeal,Spain,https://www.lne.es/opinion/2024/06/28/derecha-derechas-104419671.html,www.lne.es,,Spain,GOV,Spain,1,3.0,-1.76470588235294,10,40.4,-3.68333
1184294279,2024-06-28,EUROPEAN,,"Yield, not specified below ",Yield,Spain,https://www.lne.es/economia/2024/06/28/electrointensivas-juzgan-insuficiente-ayudas-compensar-104418816.html,www.lne.es,,Spain,,,1,5.0,-1.40449438202247,10,40.0,-4.0
1184294307,2024-06-28,GOVERNMENT,BANK,"Demand, not specified below",Demand,Spain,https://www.nacion.com/el-pais/politica/diputados-extranados-por-insistencia-del/BO3BKOGJMZHLXK4JWSL4JC4J6A/story/,www.nacion.com,GOV,Costa Rica,BUS,Costa Rica,1,-5.0,-1.4516129032258,2,40.0,-4.0
1184294385,2024-06-28,JAPAN,,Occupy territory,Fight,Spain,https://www.elmundo.es/metropoli/gastronomia/restaurantes/2024/06/28/667d84f8e9cf4ac02c8b457f.html,www.elmundo.es,,Spain,,,1,-9.5,1.01419878296146,10,41.8484,3.12912
1184294412,2024-06-28,MALE,,"Make statement, not specified below",Make Public Statement,Spain,https://www.lne.es/gijon/2024/06/28/cambio-sinhogarismo-gijon-mujeres-personas-104426032.html,www.lne.es,,Spain,,,1,0.0,-0.97879282218597,10,40.0,-4.0
1184294499,2024-06-28,UKRAINE,RUSSIA,"Appeal, not specified below",Appeal,Ukraine,https://www.lne.es/oviedo/2024/06/28/santa-barbara-acepta-indra-participada-104426396.html,www.lne.es,,Spain,,Ukraine,1,3.0,2.37741456166419,2,49.0,32.0
1184295748,2024-06-28,LOWER SAXONY,,"Appeal, not specified below",Appeal,Spain,https://www.weser-kurier.de/landkreis-osterholz/haeusliche-gewalt-landkreis-osterholz-weiter-ohne-frauenhaus-doc7vx9o79kdyx3r6ugdsx,www.weser-kurier.de,,Spain,,,1,3.0,-2.5974025974026,10,40.0,-4.0
1184295759,2024-06-28,SCHOOL,,"Make statement, not specified below",Make Public Statement,Spain,https://www.eluniversal.com.mx/tendencias/el-truco-para-que-el-cereal-no-cause-gases-irritacion-e-inflamacion-en-el-colon/,www.eluniversal.com.mx,EDU,Spain,,,1,0.0,-4.65753424657534,10,40.0,-4.0
1184295884,2024-06-28,EMPLOYEE,,"Appeal, not specified below",Appeal,Spain,https://www.regiondigital.com/noticias/extremadura/397192-manzano-las-entregas-a-cuenta-suponen-un-record-gracias-al-esfuerzo-de-los-espanoles.html,www.regiondigital.com,LAB,Spain,,,1,3.0,-0.46457607433217,10,40.0,-4.0
1184297151,2024-06-28,,COMPANIES,"Consult, not specified below",Consult,Spain,https://www.elconfidencial.com/empresas/2024-06-27/consultoras-ingresos-facturacion-2023-aec_3912085/,www.elconfidencial.com,,,BUS,Spain,1,1.0,1.41843971631206,10,40.0,-4.0
1184297163,2024-06-28,,SPAIN,Make a visit,Consult,Algeria,https://www.eltiempo.com/mundo/europa/el-es-la-joya-del-parapente-colombiano-asesinado-durante-festividades-en-barcelona-no-quedara-en-el-olvido-tu-valentia-3356995,www.eltiempo.com,,,,Spain,1,1.9,-3.125,6,28.0,3.0
1184297182,2024-06-28,,MEXICO,Engage in negotiation,Consult,Spain,https://www.elconfidencial.com/empresas/2024-06-28/atitlan-oferta-ohla-caos-bursatil-bajada-rating-moody-s_3912519/,www.elconfidencial.com,,,,Spain,1,7.0,-0.3030303030303,8,41.5433,2.10942
1184297510,2024-06-28,SWEDEN,,"Return, release, not specified below",Yield,Spain,https://www.elconfidencial.com/empresas/2024-06-28/blackrock-mina-parrilla-extremadura-reestructuracion_3912160/,www.elconfidencial.com,,Spain,,,1,7.0,-0.98039215686275,6,40.0,-4.0
1184298809,2024-06-28,,SPAIN,"Demand, not specified below",Demand,Spain,https://www.blic.rs/vesti/politika/separatisti-u-spaniji-hoce-da-priznaju-kosovo-raspravljali-u-parlamentu-predlog-nije/sg1xy0m,www.blic.rs,,,,Spain,1,-5.0,-0.60606060606061,10,40.0,-4.0
1184298810,2024-06-28,,SPANISH,"Consult, not specified below",Consult,Spain,https://naslovi.net/2024-06-28/blic/kosovo-glavna-tema-i-u-madridu-separatisti-u-spanskom-parlamentu-hoce-nezavisnost-ali-su-ekspresno-dobili-hladan-tus/37020557,naslovi.net,,,LEG,Spain,1,1.0,-3.44827586206897,6,40.4,-3.68333
